C0REC 3 7 15 | 0 | h 3 : 1 4 13 | v 3 : 0 2 6 | w 3
C0REC 3 7 15 | 3 | h 3 : 9 4 5 | v 3 : 0 2 6 | w 3
C0REC 3 9 11 | 0 | h 5 : 1 2 4 14 15 | v 2 : 0 5 | w 2
C0REC 3 9 11 | 1 | h 5 : 1 10 4 6 15 | v 2 : 0 5 | w 2
C0REC 3 9 11 | 2 | h 5 : 1 10 4 14 7 | v 2 : 0 5 | w 2
C0REC 3 9 11 | 3 | h 5 : 1 2 4 6 7 | v 2 : 0 5 | w 2
C0REC 3 9 13 | 0 | h 5 : 0 1 4 5 14 | v 2 : 2 7 | w 2
C0REC 3 9 13 | 3 | h 5 : 8 1 4 5 6 | v 2 : 2 7 | w 2
C0REC 3 9 15 | 2 | h 3 : 11 14 7 | v 4 : 0 2 4 5 | w 6
C0REC 3 11 13 | 1 | h 3 : 0 5 7 | v 4 : 1 2 4 6 | w 6
C0REC 3 11 13 | 2 | h 3 : 8 5 15 | v 4 : 1 2 4 6 | w 6
C0REC 3 11 15 | 0 | h 3 : 1 4 5 | v 3 : 0 2 6 | w 3
C0REC 3 11 15 | 2 | h 3 : 9 4 13 | v 3 : 0 2 6 | w 3
C0REC 3 13 15 | 0 | h 7 : 0 1 11 4 5 6 7 | v 1 : 2 | w 1
C0REC 3 13 15 | 1 | h 7 : 8 1 11 4 5 14 7 | v 1 : 2 | w 1
C0REC 3 13 15 | 2 | h 7 : 0 9 11 4 5 14 7 | v 1 : 2 | w 1
C0REC 3 13 15 | 3 | h 7 : 8 9 11 4 5 6 7 | v 1 : 2 | w 1
C0REC 4 6 8 | 2 | h 3 : 0 13 7 | v 3 : 1 2 3 | w 3
C0REC 4 6 8 | 3 | h 3 : 0 5 15 | v 3 : 1 2 3 | w 3
C0REC 4 6 10 | 0 | h 5 : 0 2 13 14 15 | v 2 : 1 3 | w 2
C0REC 4 6 10 | 1 | h 5 : 8 2 5 14 15 | v 2 : 1 3 | w 2
C0REC 4 6 10 | 2 | h 5 : 8 2 13 14 7 | v 2 : 1 3 | w 2
C0REC 4 6 10 | 3 | h 5 : 0 2 5 14 7 | v 2 : 1 3 | w 2
C0REC 4 6 14 | 0 | h 3 : 1 2 13 | v 3 : 0 3 7 | w 3
C0REC 4 6 14 | 1 | h 3 : 1 10 5 | v 3 : 0 3 7 | w 3
C0REC 4 6 14 | 2 | h 3 : 9 10 13 | v 3 : 0 3 7 | w 3
C0REC 4 6 14 | 3 | h 3 : 9 2 5 | v 3 : 0 3 7 | w 3
C0REC 4 8 10 | 0 | h 5 : 0 1 2 14 15 | v 2 : 3 5 | w 2
C0REC 4 8 10 | 1 | h 5 : 0 9 2 6 15 | v 2 : 3 5 | w 2
C0REC 4 8 10 | 2 | h 5 : 0 9 2 14 7 | v 2 : 3 5 | w 2
C0REC 4 8 10 | 3 | h 5 : 0 1 2 6 7 | v 2 : 3 5 | w 2
C0REC 4 8 14 | 0 | h 3 : 0 1 3 | v 3 : 2 5 7 | w 3
C0REC 4 8 14 | 2 | h 3 : 0 9 11 | v 3 : 2 5 7 | w 3
C0REC 4 10 14 | 1 | h 5 : 1 2 12 6 7 | v 3 : 0 3 5 | w 3
C0REC 4 10 14 | 2 | h 5 : 9 2 12 6 15 | v 3 : 0 3 5 | w 3
C0REC 5 7 9 | 2 | h 5 : 8 1 4 13 14 | v 2 : 2 3 | w 2
C0REC 5 7 9 | 3 | h 5 : 0 1 4 13 6 | v 2 : 2 3 | w 2
C0REC 5 7 11 | 0 | h 7 : 0 1 3 4 13 14 15 | v 1 : 2 | w 1
C0REC 5 7 11 | 1 | h 7 : 0 9 3 4 13 6 15 | v 1 : 2 | w 1
C0REC 5 7 11 | 2 | h 7 : 8 9 3 4 13 14 15 | v 1 : 2 | w 1
C0REC 5 7 11 | 3 | h 7 : 8 1 3 4 13 6 15 | v 1 : 2 | w 1
C0REC 5 7 13 | 0 | h 5 : 1 2 4 14 15 | v 2 : 0 3 | w 2
C0REC 5 7 13 | 1 | h 5 : 1 10 4 6 15 | v 2 : 0 3 | w 2
C0REC 5 7 13 | 2 | h 5 : 9 10 4 14 15 | v 2 : 0 3 | w 2
C0REC 5 7 13 | 3 | h 5 : 9 2 4 6 15 | v 2 : 0 3 | w 2
C0REC 5 7 15 | 0 | h 5 : 2 3 4 13 14 | v 2 : 0 1 | w 2
C0REC 5 7 15 | 1 | h 5 : 2 11 4 13 6 | v 2 : 0 1 | w 2
C0REC 5 7 15 | 2 | h 5 : 10 11 4 13 14 | v 2 : 0 1 | w 2
C0REC 5 7 15 | 3 | h 5 : 10 3 4 13 6 | v 2 : 0 1 | w 2
C0REC 5 9 11 | 0 | h 7 : 0 1 2 3 4 13 15 | v 1 : 6 | w 1
C0REC 5 9 11 | 1 | h 7 : 0 1 10 3 4 13 7 | v 1 : 6 | w 1
C0REC 5 9 11 | 2 | h 7 : 8 1 10 3 4 13 15 | v 1 : 6 | w 1
C0REC 5 9 11 | 3 | h 7 : 8 1 2 3 4 13 7 | v 1 : 6 | w 1
C0REC 5 9 13 | 2 | h 3 : 11 4 15 | v 3 : 0 2 6 | w 3
C0REC 5 9 13 | 3 | h 3 : 3 4 7 | v 3 : 0 2 6 | w 3
