C0REC 0 4 20 | 1 | h 5 : 16 2 8 26 12 | v 10 : 1 3 5 6 7 9 11 13 14 15 | w 252
C0REC 0 4 20 | 2 | h 5 : 16 18 8 10 12 | v 10 : 1 3 5 6 7 9 11 13 14 15 | w 252
C0REC 0 4 20 | 3 | h 5 : 16 2 8 10 28 | v 10 : 1 3 5 6 7 9 11 13 14 15 | w 252
C0REC 0 4 22 | 0 | h 7 : 16 18 20 6 8 27 29 | v 9 : 1 3 5 7 9 10 12 14 15 | w 126
C0REC 0 4 22 | 1 | h 7 : 16 2 20 6 8 27 13 | v 9 : 1 3 5 7 9 10 12 14 15 | w 126
C0REC 0 4 22 | 2 | h 7 : 16 18 20 6 8 11 13 | v 9 : 1 3 5 7 9 10 12 14 15 | w 126
C0REC 0 4 22 | 3 | h 7 : 16 2 20 6 8 11 29 | v 9 : 1 3 5 7 9 10 12 14 15 | w 126
C0REC 0 4 26 | 0 | h 7 : 16 18 20 8 10 29 31 | v 9 : 1 3 5 6 7 9 11 12 14 | w 126
C0REC 0 4 26 | 1 | h 7 : 16 2 20 8 10 29 15 | v 9 : 1 3 5 6 7 9 11 12 14 | w 126
C0REC 0 4 26 | 2 | h 7 : 16 18 20 8 10 13 15 | v 9 : 1 3 5 6 7 9 11 12 14 | w 126
C0REC 0 4 26 | 3 | h 7 : 16 2 20 8 10 13 31 | v 9 : 1 3 5 6 7 9 11 12 14 | w 126
C0REC 0 4 28 | 0 | h 5 : 18 20 8 12 30 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 4 28 | 3 | h 5 : 2 20 8 12 14 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 4 30 | 0 | h 7 : 16 1 18 20 8 14 31 | v 9 : 3 5 6 7 9 10 11 12 13 | w 126
C0REC 0 4 30 | 1 | h 7 : 16 17 2 20 8 14 31 | v 9 : 3 5 6 7 9 10 11 12 13 | w 126
C0REC 0 4 30 | 2 | h 7 : 16 17 18 20 8 14 15 | v 9 : 3 5 6 7 9 10 11 12 13 | w 126
C0REC 0 4 30 | 3 | h 7 : 16 1 2 20 8 14 15 | v 9 : 3 5 6 7 9 10 11 12 13 | w 126
C0REC 0 6 8 | 0 | h 5 : 16 19 20 22 23 | v 10 : 1 2 5 9 10 11 12 13 14 15 | w 252
C0REC 0 6 8 | 1 | h 5 : 16 3 20 22 7 | v 10 : 1 2 5 9 10 11 12 13 14 15 | w 252
C0REC 0 6 8 | 2 | h 5 : 16 19 4 22 7 | v 10 : 1 2 5 9 10 11 12 13 14 15 | w 252
C0REC 0 6 8 | 3 | h 5 : 16 3 4 22 23 | v 10 : 1 2 5 9 10 11 12 13 14 15 | w 252
C0REC 0 6 10 | 0 | h 5 : 16 19 21 22 26 | v 11 : 1 2 4 7 8 9 11 12 13 14 15 | w 462
C0REC 0 6 10 | 3 | h 5 : 16 3 5 22 26 | v 11 : 1 2 4 7 8 9 11 12 13 14 15 | w 462
C0REC 0 6 12 | 2 | h 5 : 16 19 8 9 28 | v 10 : 1 2 4 5 7 10 11 13 14 15 | w 252
C0REC 0 6 12 | 3 | h 5 : 16 3 8 25 28 | v 10 : 1 2 4 5 7 10 11 13 14 15 | w 252
C0REC 0 6 14 | 0 | h 7 : 16 19 22 23 8 26 30 | v 9 : 1 2 4 5 9 11 12 13 15 | w 126
C0REC 0 6 14 | 1 | h 7 : 16 3 22 23 8 10 30 | v 9 : 1 2 4 5 9 11 12 13 15 | w 126
C0REC 0 6 14 | 2 | h 7 : 16 19 22 7 8 10 30 | v 9 : 1 2 4 5 9 11 12 13 15 | w 126
C0REC 0 6 14 | 3 | h 7 : 16 3 22 7 8 26 30 | v 9 : 1 2 4 5 9 11 12 13 15 | w 126
C0REC 0 6 16 | 0 | h 3 : 19 22 27 | v 12 : 1 2 4 5 7 8 9 10 12 13 14 15 | w 924
C0REC 0 6 16 | 1 | h 3 : 3 22 11 | v 12 : 1 2 4 5 7 8 9 10 12 13 14 15 | w 924
C0REC 0 6 18 | 0 | h 7 : 16 2 19 22 8 25 28 | v 9 : 1 4 5 7 10 11 13 14 15 | w 126
C0REC 0 6 18 | 1 | h 7 : 16 2 3 22 8 25 12 | v 9 : 1 4 5 7 10 11 13 14 15 | w 126
C0REC 0 6 18 | 2 | h 7 : 16 2 19 22 8 9 12 | v 9 : 1 4 5 7 10 11 13 14 15 | w 126
C0REC 0 6 18 | 3 | h 7 : 16 2 3 22 8 9 28 | v 9 : 1 4 5 7 10 11 13 14 15 | w 126
C0REC 0 6 20 | 0 | h 7 : 16 19 4 22 8 26 29 | v 9 : 1 2 5 7 9 11 12 14 15 | w 126
C0REC 0 6 20 | 1 | h 7 : 16 3 4 22 8 26 13 | v 9 : 1 2 5 7 9 11 12 14 15 | w 126
C0REC 0 6 20 | 2 | h 7 : 16 19 4 22 8 10 13 | v 9 : 1 2 5 7 9 11 12 14 15 | w 126
C0REC 0 6 20 | 3 | h 7 : 16 3 4 22 8 10 29 | v 9 : 1 2 5 7 9 11 12 14 15 | w 126
C0REC 0 6 22 | 0 | h 5 : 16 19 8 27 30 | v 10 : 1 2 4 5 7 9 10 12 13 15 | w 252
C0REC 0 6 22 | 1 | h 5 : 16 3 8 27 14 | v 10 : 1 2 4 5 7 9 10 12 13 15 | w 252
C0REC 0 6 22 | 2 | h 5 : 16 19 8 11 14 | v 10 : 1 2 4 5 7 9 10 12 13 15 | w 252
C0REC 0 6 22 | 3 | h 5 : 16 3 8 11 30 | v 10 : 1 2 4 5 7 9 10 12 13 15 | w 252
C0REC 0 6 26 | 0 | h 5 : 19 22 8 10 29 | v 10 : 1 2 4 5 7 9 11 12 14 15 | w 252
C0REC 0 6 26 | 3 | h 5 : 3 22 8 10 13 | v 10 : 1 2 4 5 7 9 11 12 14 15 | w 252
C0REC 0 6 28 | 0 | h 7 : 16 1 19 22 8 12 30 | v 9 : 2 4 5 7 9 10 11 13 15 | w 126
C0REC 0 6 28 | 1 | h 7 : 16 17 3 22 8 12 30 | v 9 : 2 4 5 7 9 10 11 13 15 | w 126
C0REC 0 6 28 | 2 | h 7 : 16 17 19 22 8 12 14 | v 9 : 2 4 5 7 9 10 11 13 15 | w 126
C0REC 0 6 28 | 3 | h 7 : 16 1 3 22 8 12 14 | v 9 : 2 4 5 7 9 10 11 13 15 | w 126
C0REC 0 6 30 | 0 | h 7 : 16 2 19 22 8 14 31 | v 9 : 1 4 5 7 9 10 11 12 13 | w 126
C0REC 0 6 30 | 1 | h 7 : 16 18 3 22 8 14 31 | v 9 : 1 4 5 7 9 10 11 12 13 | w 126
C0REC 0 6 30 | 2 | h 7 : 16 18 19 22 8 14 15 | v 9 : 1 4 5 7 9 10 11 12 13 | w 126
